,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
40,2020-02-27,USD,1.520612915,1.7838380153,4.4668916454,1.3349142649,0.9692630427,7.0059284933,23.0600145932,6.8154870485,0.7752188982,7.7942356804,6.8063662897,308.6191171105,14034.9963516965,3.4358810653,71.6326158336,127.0521707406,109.8686610726,1211.0817219993,19.3908245166,4.2105071142,9.3869025903,1.5802626779,50.8637358628,3.9332360452,4.3870850055,65.7654140825,9.6454761036,1.3949288581,31.6499452754,6.1599781102,1.0,15.3611820503
41,2020-02-28,USD,1.5373052747,1.7817254259,4.4850141204,1.3443563815,0.9669308554,6.9838753758,23.1301812881,6.807233306,0.7772159971,7.7935683702,6.804682518,307.5248246333,14347.4993167532,3.4665209074,72.228295527,126.901703562,108.7364489387,1207.0511068598,19.7112143573,4.2145394917,9.4641523185,1.6040812608,51.0403571103,3.9408763779,4.3846223923,67.0580304273,9.7237860982,1.3953721418,31.5496037169,6.2264735356,1.0,15.5744739
42,2020-03-02,USD,1.5283222442,1.7584966733,4.4900197806,1.3358208955,0.9580111491,6.9653839238,22.9500089912,6.719115267,0.7832494156,7.7796259666,6.7285560151,302.9311274951,14304.4506383744,3.4909188995,72.7540010789,127.4051429599,107.7324222262,1192.0967451897,19.7772882575,4.2034705988,9.3547023917,1.5948570401,50.810106096,3.8910267937,4.3253012048,67.0383024636,9.5363244021,1.3890487322,31.4403884193,6.2266678655,1.0,15.6628304262
43,2020-03-03,USD,1.5211837726,1.7592875776,4.5004947378,1.3364216965,0.9576324548,6.9777817757,22.9153548619,6.7221372672,0.7826751822,7.7782675182,6.7332014033,302.851488711,14281.7306827382,3.460465953,73.2472789422,128.5418728074,107.735899973,1194.1980750202,19.4835837006,4.2059908249,9.2945938653,1.5946748223,50.7933795089,3.8828820725,4.3255374651,66.5692183143,9.498066025,1.3923720428,31.5399838086,6.1730682738,1.0,15.583790591
44,2020-03-04,USD,1.5095730337,1.7580224719,4.507505618,1.3359101124,0.9570337079,6.9226067416,22.7775280899,6.7170337079,0.7806741573,7.7696179775,6.7279101124,301.0876404494,14115.002247191,3.4562696629,73.2606741573,127.8202247191,107.4876404494,1181.9865168539,19.2453932584,4.1789662921,9.263011236,1.5880449438,50.5959550562,3.8622921348,4.3211685393,65.8139325843,9.4880898876,1.3842696629,31.3402247191,6.0968988764,1.0,15.2614831461
45,2020-03-05,USD,1.5122016626,1.7482792527,4.6017699115,1.3427192277,0.9531599178,6.934745687,22.656655046,6.6784660767,0.7747385358,7.771162957,6.6957182444,300.0804505229,14170.0008938947,3.4695628855,73.4361312237,127.1118262269,106.9366228658,1186.2072047913,19.7315634218,4.1594708143,9.2705819254,1.5861267543,50.7598104943,3.8463395012,4.3005273979,66.4226334138,9.4676857066,1.3850898364,31.5500134084,6.0818807544,1.0,15.4416733709
46,2020-03-06,USD,1.5087332392,1.7252999294,4.6531404375,1.3420077629,0.9341037403,6.9258115737,22.4576570219,6.5893613267,0.7689220183,7.7707304164,6.6191778405,295.9421312632,14606.995412844,3.4911785462,73.7350035286,126.1467889908,105.0458715596,1192.334156669,20.2856386733,4.1720183486,9.2610268172,1.5753352152,50.7604093155,3.7969301341,4.2440014114,68.371383204,9.3635321101,1.3787932251,31.4396612562,6.1052399435,1.0,15.7475299929
47,2020-03-09,USD,1.5127444134,1.7072276536,4.750174581,1.3628666201,0.9247555866,6.9483240223,22.2625698324,6.5201641061,0.7627706006,7.7724336592,6.5904329609,293.5143156425,14392.5017458101,3.515625,74.1620111732,126.5712290503,102.2346368715,1199.9912709497,21.2349860335,4.2164804469,9.5059357542,1.5730621508,50.6398393855,3.7650139665,4.2052199721,74.3324895251,9.3578037709,1.3827688547,31.4952863128,6.1105097765,1.0,15.9652583799
48,2020-03-10,USD,1.5256365233,1.7171202809,4.6745390694,1.3677787533,0.9301141352,6.9569798068,22.5856014047,6.5596136962,0.7672080773,7.7696224759,6.6220368745,295.1712028095,14294.9956101844,3.5247585601,73.8454784899,127.5680421422,104.1703248464,1191.5013169447,20.960403863,4.2374890255,9.5200175593,1.5808604039,50.5153643547,3.7980684811,4.2298507463,71.639596137,9.4833187006,1.3886742757,31.4389815628,6.1355575066,1.0,15.9434591747
49,2020-03-11,USD,1.533962597,1.7252999294,4.6642554693,1.3742942837,0.9342801694,6.9513937897,22.7328863797,6.5919195483,0.7735532816,7.7691425547,6.6818101623,295.9244883557,14352.4964714185,3.5564573042,73.6781051517,128.5285815102,104.5783345095,1189.1937191249,21.0854798871,4.2344742414,9.5763937897,1.5835391673,50.6201482004,3.8091037403,4.2530875088,71.7876676076,9.4599505999,1.3885850388,31.390261115,6.1958362738,1.0,16.0638673253
50,2020-03-12,USD,1.5724199288,1.7400355872,4.9004448399,1.38113879,0.9385231317,7.0175266904,23.3122775801,6.6483096085,0.7884608541,7.7816725979,6.7615658363,301.0409252669,14620.9964412811,3.6395907473,74.2597864769,132.2419928826,103.9501779359,1209.4306049822,22.0665480427,4.265480427,10.1140569395,1.6168149466,51.2855871886,3.8789145907,4.2894128114,74.7583629893,9.6926156584,1.4038256228,31.6601423488,6.2598754448,1.0,16.4098754448
51,2020-03-13,USD,1.5925792507,1.7613472622,4.6867795389,1.3858969741,0.9553314121,6.9873018732,23.4528097983,6.7301873199,0.8021433718,7.7679214697,6.8110590778,305.1873198847,14770.0018011527,3.6803854467,73.7360410663,135.0864553314,107.2676512968,1208.015129683,21.4188580692,4.2784582133,9.9933357349,1.6318443804,50.8402377522,3.9238112392,4.3419488473,72.7111851585,9.7670208934,1.4124639769,31.7399135447,6.2905259366,1.0,16.1414805476
52,2020-03-16,USD,1.6310836246,1.7529801918,4.9637895492,1.3927579098,0.9452361746,7.0225867169,24.1642018464,6.6981267366,0.8148964775,7.7692928207,6.7925965761,309.1960204356,15018.5533745631,3.746078695,74.2202204894,135.5203011562,105.5480864032,1230.9222909384,22.8088195752,4.310477727,10.286367303,1.6580622031,51.64918885,3.9499865555,4.332974814,74.9220220489,9.7694720803,1.4222461235,32.2102715784,6.4146275881,1.0,16.6354754862
53,2020-03-17,USD,1.6651793844,1.7809142233,5.0336914952,1.4124931706,0.961664542,7.020123839,24.5720269532,6.8049535604,0.8270169368,7.7648879985,6.9042979421,316.0080131124,15190.0018211619,3.8618648698,74.2733564014,140.5936987798,106.993261701,1243.1342196321,22.8092332908,4.3504826079,10.4774175924,1.6772901111,51.5051903114,4.0637406665,4.4088508468,74.9826989619,9.9793298124,1.4287925697,32.2901110909,6.4911673648,1.0,16.5987980331
54,2020-03-18,USD,1.6981891348,1.7887323944,5.1338028169,1.4403694897,0.9645143589,7.0353941833,24.8344613133,6.8348271447,0.8431498079,7.7663252241,6.9448509237,321.364550942,15449.5518565941,3.8095847814,74.2047740991,139.6561185294,107.7190415219,1260.106091092,23.9632339491,4.3710444485,10.701481617,1.712730931,51.6197183099,4.1165172855,4.431132248,79.6560270715,10.0807572709,1.4413755259,32.4199743918,6.446954454,1.0,16.9767697092
55,2020-03-19,USD,1.7253032127,1.8107582631,5.1881307286,1.4464401444,0.9753726507,7.1149893528,25.5587445607,6.9188963985,0.86089251,7.7630774928,7.0437922415,329.6546616054,15912.4988426997,3.685029164,75.1226738265,140.9128784372,109.8324229238,1262.9756504027,24.3454309786,4.4149615776,11.4031108231,1.75011573,51.4702342376,4.222201648,4.4852328488,80.4875474493,10.3252476623,1.4482918248,32.4747708546,6.5387464124,1.0,17.2946949357
56,2020-03-20,USD,1.7022508639,1.826655459,5.037545531,1.4249556365,0.9849631082,7.0905949379,25.3955356309,6.9759036145,0.8501727842,7.7571682077,7.1073129728,327.7388624264,15925.0023349211,3.612870085,75.1517698702,140.7490426824,110.5538432801,1247.4455963388,23.9902867283,4.3945082656,11.3210983469,1.7298029327,51.2701970673,4.232277949,4.5302138788,79.4842626319,10.3295040628,1.449052022,32.549733819,6.5196600355,1.0,17.2902773886
